county,date,status,number
Baker,2019-05-12,APPROVED,1
Baker,2019-05-13,APPROVED,3
Baker,2019-05-14,APPROVED,4
Baker,2019-05-15,APPROVED,8
Baker,2019-05-16,APPROVED,6
Baker,2019-05-17,APPROVED,7
Baker,2019-05-17,DENIED,1
Baker,2019-05-18,APPROVED,6
Baker,2019-05-19,APPROVED,3
Baker,2019-05-20,APPROVED,2
Baker,2019-05-21,APPROVED,6
Baker,2019-05-22,APPROVED,4
Baker,2019-05-23,APPROVED,4
Baker,2019-05-24,APPROVED,6
Baker,2019-05-25,APPROVED,3
Baker,2019-05-26,APPROVED,1
Baker,2019-05-27,APPROVED,2
Baker,2019-05-28,APPROVED,4
Baker,2019-05-30,APPROVED,2
Baker,2019-05-31,APPROVED,4
Baker,2019-06-01,APPROVED,3
Baker,2019-06-03,APPROVED,3
Baker,2019-06-04,APPROVED,6
Baker,2019-06-05,APPROVED,3
Baker,2019-06-06,APPROVED,3
Baker,2019-06-07,APPROVED,3
Baker,2019-06-08,APPROVED,3
Baker,2019-06-09,APPROVED,1
Baker,2019-06-10,APPROVED,5
Baker,2019-06-11,APPROVED,2
Baker,2019-06-12,APPROVED,4
Baker,2019-06-13,APPROVED,4
Baker,2019-06-14,APPROVED,12
Baker,2019-06-15,APPROVED,5
Baker,2019-06-16,APPROVED,6
Baker,2019-06-17,APPROVED,1
Baker,2019-06-19,APPROVED,2
Baker,2019-06-20,APPROVED,2
Baker,2019-06-21,APPROVED,3
Baker,2019-06-22,APPROVED,3
Baker,2019-06-23,APPROVED,4
Baker,2019-06-24,APPROVED,9
Baker,2019-06-24,DENIED,1
Baker,2019-06-25,APPROVED,2
Baker,2019-06-26,APPROVED,4
Baker,2019-06-27,APPROVED,1
Baker,2019-06-28,APPROVED,7
Baker,2019-06-28,CANCELED,1
Baker,2019-06-29,APPROVED,11
Baker,2019-06-30,APPROVED,5
Baker,2019-07-01,APPROVED,7
Baker,2019-07-02,APPROVED,3
Baker,2019-07-03,APPROVED,3
Baker,2019-07-04,APPROVED,3
Baker,2019-07-05,APPROVED,7
Baker,2019-07-07,APPROVED,1
Baker,2019-07-08,APPROVED,6
Baker,2019-07-09,APPROVED,3
Baker,2019-07-10,APPROVED,2
Baker,2019-07-11,APPROVED,6
Baker,2019-07-12,APPROVED,8
Baker,2019-07-13,APPROVED,3
Baker,2019-07-14,APPROVED,3
Baker,2019-07-15,APPROVED,4
Baker,2019-07-15,CANCELED,1
Baker,2019-07-16,APPROVED,4
Baker,2019-07-17,APPROVED,7
Baker,2019-07-18,APPROVED,3
Baker,2019-07-19,APPROVED,7
Baker,2019-07-20,APPROVED,4
Baker,2019-07-21,APPROVED,2
Baker,2019-07-22,APPROVED,2
Baker,2019-07-23,APPROVED,3
Baker,2019-07-24,APPROVED,4
Baker,2019-07-25,APPROVED,3
Baker,2019-07-26,APPROVED,5
Baker,2019-07-27,APPROVED,3
Baker,2019-07-28,APPROVED,1
Baker,2019-07-29,APPROVED,2
Baker,2019-07-30,APPROVED,2
Baker,2019-07-31,APPROVED,7
Baker,2019-08-01,APPROVED,5
Baker,2019-08-01,CANCELED,1
Baker,2019-08-02,APPROVED,2
Baker,2019-08-03,APPROVED,11
Baker,2019-08-04,APPROVED,2
Baker,2019-08-05,APPROVED,3
Baker,2019-08-06,APPROVED,4
Baker,2019-08-07,APPROVED,7
Baker,2019-08-08,APPROVED,5
Baker,2019-08-09,APPROVED,10
Baker,2019-08-09,DENIED,1
Baker,2019-08-10,APPROVED,4
Baker,2019-08-11,APPROVED,2
Baker,2019-08-11,CANCELED,1
Baker,2019-08-12,APPROVED,2
Baker,2019-08-12,CANCELED,1
Baker,2019-08-13,APPROVED,4
Baker,2019-08-14,APPROVED,6
Baker,2019-08-16,APPROVED,9
Baker,2019-08-17,APPROVED,7
Baker,2019-08-18,APPROVED,1
